CMDLINE /usr/bin/python2.7 test_script.py
MEM 1267.996094 1553518355.6227
MEM 1257.648438 1553518355.7442
MEM 1294.207031 1553518355.8660
MEM 1318.171875 1553518355.9860
MEM 1327.976562 1553518356.1061
MEM 1312.675781 1553518356.2197
MEM 1292.511719 1553518356.3327
MEM 1294.164062 1553518356.4522
MEM 1305.933594 1553518356.5715
MEM 1284.675781 1553518356.6845
MEM 1307.769531 1553518356.7988
MEM 1339.585938 1553518356.9130
MEM 1377.031250 1553518357.0269
MEM 1343.335938 1553518357.1411
MEM 1358.121094 1553518357.2567
MEM 1350.335938 1553518357.3705
MEM 1337.949219 1553518357.4850
MEM 1358.031250 1553518357.5996
MEM 1336.484375 1553518357.7129
MEM 1353.046875 1553518357.8266
MEM 1330.214844 1553518357.9479
MEM 1357.488281 1553518358.0696
MEM 1341.859375 1553518358.1834
MEM 1329.835938 1553518358.2980
MEM 1346.089844 1553518358.4121
MEM 1327.640625 1553518358.5265
MEM 1317.078125 1553518358.6409
MEM 1325.867188 1553518358.7551
MEM 1326.640625 1553518358.8690
MEM 1296.703125 1553518358.9828
MEM 1311.976562 1553518359.0966
MEM 1340.296875 1553518359.2111
MEM 1364.039062 1553518359.3250
MEM 1373.792969 1553518359.4393
MEM 1407.546875 1553518359.5535
MEM 1431.175781 1553518359.6759
MEM 1365.394531 1553518359.7970
MEM 1358.707031 1553518359.9197
MEM 1362.652344 1553518360.0393
MEM 1363.941406 1553518360.1595
MEM 1325.550781 1553518360.2740
MEM 1350.332031 1553518360.3877
MEM 1396.199219 1553518360.5015
MEM 1422.105469 1553518360.6155
MEM 1407.089844 1553518360.7314
MEM 1387.531250 1553518360.8454
MEM 1414.035156 1553518360.9602
MEM 1399.371094 1553518361.0744
MEM 1419.234375 1553518361.1889
MEM 1391.269531 1553518361.3036
MEM 1406.027344 1553518361.4178
MEM 1379.144531 1553518361.5391
MEM 1394.417969 1553518361.6608
MEM 1390.968750 1553518361.7822
MEM 1408.863281 1553518361.9024
MEM 1401.449219 1553518362.0159
MEM 1417.980469 1553518362.1296
MEM 1434.753906 1553518362.2431
MEM 1406.203125 1553518362.3596
MEM 1394.171875 1553518362.4738
MEM 1420.101562 1553518362.5877
MEM 1438.371094 1553518362.7022
MEM 1456.785156 1553518362.8179
MEM 1421.570312 1553518362.9395
MEM 1449.136719 1553518363.0612
MEM 1451.871094 1553518363.1817
MEM 1422.203125 1553518363.2954
MEM 1384.601562 1553518363.4090
MEM 1406.898438 1553518363.5235
MEM 1441.230469 1553518363.6376
MEM 1462.652344 1553518363.7516
MEM 1439.988281 1553518363.8664
MEM 1462.769531 1553518363.9886
MEM 1447.246094 1553518364.1111
MEM 1467.542969 1553518364.2329
MEM 1452.496094 1553518364.3527
MEM 1470.691406 1553518364.4728
MEM 1451.867188 1553518364.5864
MEM 1464.371094 1553518364.7000
MEM 1479.644531 1553518364.8146
MEM 1454.367188 1553518364.9296
MEM 1470.550781 1553518365.0440
MEM 1468.566406 1553518365.1585
MEM 1488.746094 1553518365.2732
MEM 1509.960938 1553518365.3881
MEM 1494.707031 1553518365.5101
MEM 1496.847656 1553518365.6317
MEM 1516.425781 1553518365.7511
MEM 1533.339844 1553518365.8731
MEM 1463.578125 1553518365.9936
MEM 1478.941406 1553518366.1076
MEM 1483.355469 1553518366.2221
MEM 1499.324219 1553518366.3368
MEM 1500.355469 1553518366.4507
MEM 1450.234375 1553518366.5645
MEM 1473.644531 1553518366.6786
MEM 1500.160156 1553518366.7924
MEM 1507.570312 1553518366.9061
MEM 1490.750000 1553518367.0208
MEM 1482.457031 1553518367.1352
MEM 1498.285156 1553518367.2498
MEM 1499.574219 1553518367.3646
MEM 1501.886719 1553518367.4789
MEM 1494.000000 1553518367.5936
MEM 1531.496094 1553518367.7080
MEM 1566.281250 1553518367.8222
MEM 1586.480469 1553518367.9369
MEM 1594.738281 1553518368.0587
MEM 1592.542969 1553518368.1736
MEM 1581.925781 1553518368.2885
MEM 1559.671875 1553518368.4029
MEM 1559.929688 1553518368.5174
MEM 1525.968750 1553518368.6315
MEM 1514.570312 1553518368.7457
MEM 1541.925781 1553518368.8596
MEM 1565.246094 1553518368.9740
MEM 1550.289062 1553518369.0875
MEM 1541.292969 1553518369.2017
MEM 1559.121094 1553518369.3239
MEM 1569.179688 1553518369.4381
MEM 1447.062500 1553518369.5523
MEM 1418.843750 1553518369.6665
MEM 1419.359375 1553518369.7807
MEM 903.785156 1553518369.8943
